# "C-13 APPENDIX - SINGLE YEAR AGE RETURNS BY RESIDENCE, SEX  AND LITERACY STATUS"
Table.Name,State.code,Dist.Code,Area.Name,Literate.Illiterate,Age,Persons.All,Males.All,Females.All,Persons.Rural,Males.Rural,Females.Rural,Persons.Urban,Males.Urban,Females.Urban
C3813A,00,00,India,Literate,59,2887713,1874559,1013154,1412213,985556,426657,1475500,889003,586497
C3813A,00,00,India,Literate,60,7125485,4732949,2392536,4333110,3097665,1235445,2792375,1635284,1157091
C3813A,00,00,India,Literate,61,3081459,2039301,1042158,1613893,1160878,453015,1467566,878423,589143
C3813A,00,00,India,Literate,62,2991548,1980765,1010783,1612407,1155555,456852,1379141,825210,553931
C3813A,00,00,India,Literate,63,2303571,1498148,805423,1118753,785479,333274,1184818,712669,472149
C3813A,00,00,India,Literate,64,2172205,1425861,746344,1095231,779592,315639,1076974,646269,430705
C3813A,00,00,India,Literate,65,4955651,3349154,1606497,3084643,2257511,827132,1871008,1091643,779365
C3813A,00,00,India,Literate,66,2168383,1449289,719094,1194448,868054,326394,973935,581235,392700
C3813A,00,00,India,Literate,67,1462463,982985,479478,737304,537486,199818,725159,445499,279660
C3813A,00,00,India,Literate,68,1717746,1127045,590701,900227,637467,262760,817519,489578,327941
C3813A,00,00,India,Literate,69,1321133,890720,430413,667098,488910,178188,654035,401810,252225
C3813A,00,00,India,Literate,70,3593624,2514410,1079214,2248631,1708166,540465,1344993,806244,538749
C3813A,00,00,India,Literate,71,1344096,930171,413925,705213,534990,170223,638883,395181,243702
C3813A,00,00,India,Literate,72,1132446,779215,353231,580898,437914,142984,551548,341301,210247
C3813A,00,00,India,Literate,73,771701,520801,250900,356291,262218,94073,415410,258583,156827
C3813A,00,00,India,Literate,74,798351,537150,261201,373372,276362,97010,424979,260788,164191
C3813A,00,00,India,Literate,75,1696250,1152003,544247,986052,737221,248831,710198,414782,295416
C3813A,00,00,India,Literate,76,770476,516815,253661,388942,288628,100314,381534,228187,153347
C3813A,00,00,India,Literate,77,472750,317492,155258,214856,158588,56268,257894,158904,98990
C3813A,00,00,India,Literate,78,529080,346933,182147,252272,181173,71099,276808,165760,111048
C3813A,00,00,India,Literate,79,402755,266675,136080,188211,137938,50273,214544,128737,85807
C3813A,00,00,India,Literate,80,1090392,734820,355572,650033,484940,165093,440359,249880,190479
C3813A,00,00,India,Literate,81,403511,267709,135802,204460,150483,53977,199051,117226,81825
C3813A,00,00,India,Literate,82,309685,202842,106843,152448,110193,42255,157237,92649,64588
C3813A,00,00,India,Literate,83,220316,140563,79753,100373,70079,30294,119943,70484,49459
C3813A,00,00,India,Literate,84,223459,141911,81548,105089,73446,31643,118370,68465,49905
C3813A,00,00,India,Literate,85,445274,290445,154829,253436,183691,69745,191838,106754,85084
C3813A,00,00,India,Literate,86,209078,132870,76208,104954,73807,31147,104124,59063,45061
C3813A,00,00,India,Literate,87,127272,80312,46960,59493,41085,18408,67779,39227,28552
C3813A,00,00,India,Literate,88,127775,78592,49183,64573,42694,21879,63202,35898,27304
C3813A,00,00,India,Literate,89,98608,60899,37709,48560,32545,16015,50048,28354,21694
C3813A,00,00,India,Literate,90,242506,156326,86180,147116,104005,43111,95390,52321,43069
C3813A,00,00,India,Literate,91,113850,69390,44460,61729,40570,21159,52121,28820,23301
C3813A,00,00,India,Literate,92,89818,54049,35769,50284,31824,18460,39534,22225,17309
C3813A,00,00,India,Literate,93,59419,34963,24456,32788,20171,12617,26631,14792,11839
C3813A,00,00,India,Literate,94,62942,37362,25580,35840,22332,13508,27102,15030,12072
C3813A,00,00,India,Literate,95,108739,68576,40163,67986,46028,21958,40753,22548,18205
C3813A,00,00,India,Literate,96,63190,38348,24842,36775,23794,12981,26415,14554,11861
C3813A,00,00,India,Literate,97,43766,26006,17760,24612,15459,9153,19154,10547,8607
C3813A,00,00,India,Literate,98,55285,32901,22384,32929,20519,12410,22356,12382,9974
C3813A,00,00,India,Literate,99,24566,15016,9550,14336,9290,5046,10230,5726,4504
C3813A,00,00,India,Literate,+100,279107,163303,115804,158036,97307,60729,121071,65996,55075
C3813A,00,00,India,Literate,-1,2898590,1706764,1191826,1729810,1044972,684838,1168780,661792,506988
C3813A,00,00,India,Illiterate,101,447216165,188506636,258709529,350955017,146419684,204535333,96261148,42086952,54174196
C3813A,00,00,India,Illiterate,0,20311234,10633298,9677936,14884690,7784009,7100681,5426544,2849289,2577255
C3813A,00,00,India,Illiterate,1,21755197,11381468,10373729,15731709,8216086,7515623,6023488,3165382,2858106
C3813A,00,00,India,Illiterate,2,23056268,11952853,11103415,17065758,8827253,8238505,5990510,3125600,2864910
C3813A,00,00,India,Illiterate,3,23974041,12331431,11642610,17778869,9116778,8662091,6195172,3214653,2980519
C3813A,00,00,India,Illiterate,4,23710038,12333024,11377014,17525634,9092251,8433383,6184404,3240773,2943631
C3813A,00,00,India,Illiterate,5,26054230,13725480,12328750,19294779,10139548,9155231,6759451,3585932,3173519
C3813A,00,00,India,Illiterate,6,25654245,13394700,12259545,19041426,9908524,9132902,6612819,3486176,3126643
C3813A,00,00,India,Illiterate,7,6748214,3388683,3359531,5295256,2642438,2652818,1452958,746245,706713
C3813A,00,00,India,Illiterate,8,4131414,2013742,2117672,3339350,1613098,1726252,792064,400644,391420
C3813A,00,00,India,Illiterate,9,2491904,1198339,1293565,1967000,932962,1034038,524904,265377,259527
C3813A,00,00,India,Illiterate,10,3454505,1661124,1793381,2745021,1299553,1445468,709484,361571,347913
C3813A,00,00,India,Illiterate,11,1988473,929328,1059145,1553637,710896,842741,434836,218432,216404
C3813A,00,00,India,Illiterate,12,2391529,1087320,1304209,1914468,847445,1067023,477061,239875,237186
C3813A,00,00,India,Illiterate,13,1810476,790923,1019553,1426662,604308,822354,383814,186615,197199
C3813A,00,00,India,Illiterate,14,2100785,920460,1180325,1657852,704596,953256,442933,215864,227069
C3813A,00,00,India,Illiterate,15,2599957,1176626,1423331,2074111,915000,1159111,525846,261626,264220
C3813A,00,00,India,Illiterate,16,2512487,1110878,1401609,1993626,854089,1139537,518861,256789,262072
C3813A,00,00,India,Illiterate,17,2038455,880041,1158414,1584027,654330,929697,454428,225711,228717
C3813A,00,00,India,Illiterate,18,3727975,1532188,2195787,2984146,1166342,1817804,743829,365846,377983
C3813A,00,00,India,Illiterate,19,2578674,935454,1643220,2041132,691050,1350082,537542,244404,293138
C3813A,00,00,India,Illiterate,20,4973160,1801903,3171257,4012887,1390488,2622399,960273,411415,548858
