#Unemployment Rates 2015-16 (per 1000)[1]
States,Total,Urban,Rural
AP,39,44,38
AS,178,163,199
SK,181,168,184
KL,125,126,125
HP,106,23,117
GA,69,55,137
AR,89,52,93
NL,85,141,69
JH,77,94,73
UP,74,67,76
JK,72,36,83
RJ,71,43,77
UK,70,32,81
BR,58,99,48
PB,60,62,59
TR,56,67,55
MN,57,70,49
OR,50,47,51
WB,49,56,47
ML,48,134,28
HR,47,39,53
MP,43,40,44
TN,42,36,45
MZ,30,49,15
MH,21,23,20
CG,19,68,11
KA,15,19,13
GJ,9,7,10
DL,,,
DD,,,  
DH,,,
AN,,,
PY,,,
LD,,,
CH,,,
India,50,49,51
